Наименование,цена
Потолочная люстра Lumion Candice 4554/6CA,6 000 ₽
Потолочная люстра Lumion Miss 6521/6C,12 990 ₽
Потолочная люстра Lumion Romeo 5207/6C,6 700 ₽
Потолочная люстра Lumion Casetta 3126/5C,14 200 ₽
Потолочная люстра Lumion Filla 3030/2C,3 250 ₽
Подвесной светодиодный светильник с пультом FL4835/5 BK черный 3000K-6400K 70W 830*400*160 (ПДУ ИК),10 956.50 ₽
Потолочный светодиодный светильник с пультом FL51632/4+1 BK/GD черный/золото 3000K-6400K 48W 910*745*300 (ПДУ ИК),8 471.10 ₽
Потолочный светодиодный светильник с пультом FL51631/4+1 WH белый 3000K-6400K 48W 910*745*300 (ПДУ ИК),8 471.10 ₽
Подвесной светодиодный светильник с пультом FL4834/5 WH белый 3000K-6400K 70W 830*400*160 (ПДУ ИК),10 956.50 ₽
Подвесной светодиодный светильник с пультом FL4828/5 BK черный 3000K-6400K 65W D580*160 (ПДУ ИК),7 527.60 ₽
Подвесной светодиодный светильник с пультом FL4826/5 GR серый 3000K-6400K 65W D580*160 (ПДУ ИК),7 527.60 ₽
Подвесной светодиодный светильник с пультом FL4825/5 WH белый 3000K-6400K 65W D580*160 (ПДУ ИК),7 527.60 ₽
